medalist_name,medal,country_medal,date_of_birth,place_of_birth,place_of_birth_located_in,event_name
Léo Bergere,bronze,France,1996-06-28,Le Pont-de-Beauvoisin,Savoie,triathlon at the 2024 Summer Olympics
Cassandre Beaugrand,gold,France,1997-05-23,Livry-Gargan,Seine-Saint-Denis,triathlon at the 2024 Summer Olympics – Women's
Julie Derron,silver,Switzerland,1996-09-10,Zürich,Zürich District,triathlon at the 2024 Summer Olympics – Women's
Beth Potter,bronze,United Kingdom,1991-12-27,Glasgow,Glasgow City,triathlon at the 2024 Summer Olympics – Women's
Tim Hellwig,gold,Germany,1999-01-01,Neustadt an der Weinstraße,Rhineland-Palatinate,Triathlon at the 2024 Summer Olympics – Mixed relay
Lisa Tertsch,gold,Germany,1998-12-01,Offenbach am Main,Darmstadt Government Region,Triathlon at the 2024 Summer Olympics – Mixed relay
Lasse Lührs,gold,Germany,1996-05-16,Stade,Stade,Triathlon at the 2024 Summer Olympics – Mixed relay
Laura Lindemann,gold,Germany,1996-06-26,Berlin,Germany,Triathlon at the 2024 Summer Olympics – Mixed relay
Seth Rider,silver,United States of America,1997-03-06,Germantown,Shelby County,Triathlon at the 2024 Summer Olympics – Mixed relay
Taylor Spivey,silver,United States of America,1991-04-13,Redondo Beach,Los Angeles County,Triathlon at the 2024 Summer Olympics – Mixed relay
Morgan Pearson,silver,United States of America,1993-09-22,"Washington, D.C.",District of Columbia,Triathlon at the 2024 Summer Olympics – Mixed relay
Taylor Knibb,silver,United States of America,1998-02-14,Rapid City,Pennington County,Triathlon at the 2024 Summer Olympics – Mixed relay
Alex Yee,bronze,United Kingdom,1998-02-18,Lewisham,London Borough of Lewisham,Triathlon at the 2024 Summer Olympics – Mixed relay
Georgia Taylor-Brown,bronze,United Kingdom,1994-03-15,Manchester,Manchester,Triathlon at the 2024 Summer Olympics – Mixed relay
Sam Dickinson,bronze,United Kingdom,1997-07-11,York,City of York,Triathlon at the 2024 Summer Olympics – Mixed relay
Beth Potter,bronze,United Kingdom,1991-12-27,Glasgow,Glasgow City,Triathlon at the 2024 Summer Olympics – Mixed relay
David Åhman,gold,Sweden,2001-12-20,Umeå,Umeå Municipality,beach volleyball at the 2024 Summer Olympics – men's tournament
Jonatan Hellvig,gold,Sweden,2001-10-05,Lidingö,Lidingö Municipality,beach volleyball at the 2024 Summer Olympics – men's tournament
Nils Ehlers,silver,Germany,1994-02-04,Berlin,Germany,beach volleyball at the 2024 Summer Olympics – men's tournament
Clemens Wickler,silver,Germany,1995-04-28,Starnberg,Starnberg,beach volleyball at the 2024 Summer Olympics – men's tournament
Anders Mol,bronze,Norway,1997-07-02,Stord Municipality,Vestland,beach volleyball at the 2024 Summer Olympics – men's tournament
Christian Sørum,bronze,Norway,1995-12-03,Oslo,Oslo Municipality,beach volleyball at the 2024 Summer Olympics – men's tournament
Ana Patrícia,gold,Brazil,1997-09-29,Espinosa,Espinosa,beach volleyball at the 2024 Summer Olympics – women's tournament
Eduarda Santos Lisboa,gold,Brazil,1998-08-01,Aracaju,Sergipe,beach volleyball at the 2024 Summer Olympics – women's tournament
Melissa Humana-Paredes,silver,Canada,1992-10-10,Toronto,Ontario,beach volleyball at the 2024 Summer Olympics – women's tournament
Brandie Wilkerson,silver,Canada,1992-07-01,Lausanne,Lausanne District,beach volleyball at the 2024 Summer Olympics – women's tournament
Tanja Hüberli,bronze,Switzerland,1992-08-27,Reichenburg,March District,beach volleyball at the 2024 Summer Olympics – women's tournament
Nina Betschart,bronze,Switzerland,1995-10-14,Steinhausen,Zug,beach volleyball at the 2024 Summer Olympics – women's tournament
Barthélémy Chinenyeze,gold,France,1998-02-28,Coudekerque-Branche,Communauté urbaine de Dunkerque,volleyball at the 2024 Summer Olympics – men's tournament
Jenia Grebennikov,gold,France,1990-08-13,Rennes,arrondissement of Rennes,volleyball at the 2024 Summer Olympics – men's tournament
Jean Patry,gold,France,1996-12-27,Montpellier,Hérault,volleyball at the 2024 Summer Olympics – men's tournament
Benjamin Toniutti,gold,France,1989-10-30,Mulhouse,canton of Mulhouse-Nord,volleyball at the 2024 Summer Olympics – men's tournament
Kévin Tillie,gold,France,1990-11-02,Cagnes-sur-Mer,Alpes-Maritimes,volleyball at the 2024 Summer Olympics – men's tournament
Earvin N'Gapeth,gold,France,1991-02-12,Saint-Raphaël,Var,volleyball at the 2024 Summer Olympics – men's tournament
Antoine Brizard,gold,France,1994-05-22,Poitiers,arrondissement of Poitiers,volleyball at the 2024 Summer Olympics – men's tournament
Nicolas Le Goff,gold,France,1992-02-15,Paris,Grand Paris,volleyball at the 2024 Summer Olympics – men's tournament
Trévor Clévenot,gold,France,1994-06-28,Royan,Arrondissement of Rochefort,volleyball at the 2024 Summer Olympics – men's tournament
Yacine Louati,gold,France,1992-03-04,Tourcoing,arrondissement of Lille,volleyball at the 2024 Summer Olympics – men's tournament
Théo Faure,gold,France,1999-12-10,Pessac,arrondissement of Bordeaux,volleyball at the 2024 Summer Olympics – men's tournament
Quentin Jouffroy,gold,France,1993-07-05,Grenoble,arrondissement of Grenoble,volleyball at the 2024 Summer Olympics – men's tournament
Łukasz Kaczmarek,silver,Poland,1994-06-29,Krotoszyn,Gmina Krotoszyn,volleyball at the 2024 Summer Olympics – men's tournament
Bartosz Kurek,silver,Poland,1988-08-29,Wałbrzych,Lower Silesian Voivodeship,volleyball at the 2024 Summer Olympics – men's tournament
Wilfredo Leon,silver,Poland,1993-07-31,Santiago de Cuba,Santiago de Cuba Province,volleyball at the 2024 Summer Olympics – men's tournament
Aleksander Śliwka,silver,Poland,1995-05-24,Jawor,Jawor County,volleyball at the 2024 Summer Olympics – men's tournament
Grzegorz Łomacz,silver,Poland,1987-10-01,Olsztyn,Warmian-Masurian Voivodeship,volleyball at the 2024 Summer Olympics – men's tournament
Jakub Kochanowski,silver,Poland,1997-07-17,Giżycko,Giżycko County,volleyball at the 2024 Summer Olympics – men's tournament
Kamil Semeniuk,silver,Poland,1996-07-16,Kędzierzyn-Koźle,Kędzierzyn-Koźle County,volleyball at the 2024 Summer Olympics – men's tournament
Paweł Zatorski,silver,Poland,1990-06-21,Łódź,Łódź Voivodeship,volleyball at the 2024 Summer Olympics – men's tournament
Marcin Janusz,silver,Poland,1994-07-31,Nowy Sącz,Lesser Poland Voivodeship,volleyball at the 2024 Summer Olympics – men's tournament
Mateusz Bieniek,silver,Poland,1994-04-05,Blachownia,Gmina Blachownia,volleyball at the 2024 Summer Olympics – men's tournament
Tomasz Fornal,silver,Poland,1997-08-31,Kraków,Lesser Poland Voivodeship,volleyball at the 2024 Summer Olympics – men's tournament
Norbert Huber,silver,Poland,1998-08-14,Brzozów,Gmina Brzozów,volleyball at the 2024 Summer Olympics – men's tournament
Matt Anderson,bronze,United States of America,1987-04-18,Buffalo,Erie County,volleyball at the 2024 Summer Olympics – men's tournament
Aaron Russell,bronze,United States of America,1993-01-04,Baltimore,Maryland,volleyball at the 2024 Summer Olympics – men's tournament
Jeffrey Jendryk,bronze,United States of America,1995-09-15,Wheaton,DuPage County,volleyball at the 2024 Summer Olympics – men's tournament
Torey Defalco,bronze,United States of America,1997-04-10,Huntington Beach,Orange County,volleyball at the 2024 Summer Olympics – men's tournament
Micah Christenson,bronze,United States of America,1993-05-08,Honolulu,Honolulu County,volleyball at the 2024 Summer Olympics – men's tournament
Maxwell Holt,bronze,United States of America,1987-03-12,Cincinnati,Hamilton County,volleyball at the 2024 Summer Olympics – men's tournament
Micah Maʻa,bronze,United States of America,NA,Kaneohe,Honolulu County,volleyball at the 2024 Summer Olympics – men's tournament
Thomas Jaeschke,bronze,United States of America,1993-09-04,Hinsdale,Cook County,volleyball at the 2024 Summer Olympics – men's tournament
Garrett Muagututia,bronze,United States of America,1988-02-26,Oceanside,San Diego County,volleyball at the 2024 Summer Olympics – men's tournament
Taylor Averill,bronze,United States of America,1992-03-05,Portland,Multnomah County,volleyball at the 2024 Summer Olympics – men's tournament
David Smith,bronze,United States of America,1985-05-15,Los Angeles,Los Angeles County,volleyball at the 2024 Summer Olympics – men's tournament
Erik Shoji,bronze,United States of America,1989-08-24,Honolulu,Honolulu County,volleyball at the 2024 Summer Olympics – men's tournament
Marina Lubian,gold,Italy,2000-04-11,Moncalieri,Metropolitan City of Turin,volleyball at the 2024 Summer Olympics – women's tournament
Carlotta Cambi,gold,Italy,1996-05-28,San Miniato,Province of Pisa,volleyball at the 2024 Summer Olympics – women's tournament
Monica De Gennaro-Santarelli,gold,Italy,1987-01-08,Piano di Sorrento,Metropolitan City of Naples,volleyball at the 2024 Summer Olympics – women's tournament
Alessia Orro,gold,Italy,1998-07-18,Narbolia,Province of Oristano,volleyball at the 2024 Summer Olympics – women's tournament
Caterina Bosetti,gold,Italy,1994-02-02,Busto Arsizio,Province of Varese,volleyball at the 2024 Summer Olympics – women's tournament
Anna Danesi,gold,Italy,1996-04-20,Brescia,Province of Brescia,volleyball at the 2024 Summer Olympics – women's tournament
Myriam Sylla,gold,Italy,1995-01-08,Palermo,Metropolitan City of Palermo,volleyball at the 2024 Summer Olympics – women's tournament
Paola Egonu,gold,Italy,1998-12-18,Cittadella,Province of Padua,volleyball at the 2024 Summer Olympics – women's tournament
Sarah Fahr,gold,Italy,2001-09-12,Kulmbach,Kulmbach,volleyball at the 2024 Summer Olympics – women's tournament
Loveth Omoruyi,gold,Italy,2002-08-25,Lodi,Province of Lodi,volleyball at the 2024 Summer Olympics – women's tournament
Ekaterina Antropova,gold,Italy,2003-03-19,Akureyri,Northeastern Region,volleyball at the 2024 Summer Olympics – women's tournament
Gaia Giovannini,gold,Italy,2001-12-17,San Giovanni in Persiceto,Metropolitan City of Bologna,volleyball at the 2024 Summer Olympics – women's tournament
Ilaria Spirito,gold,Italy,1994-02-20,Albisola Superiore,Province of Savona,volleyball at the 2024 Summer Olympics – women's tournament
Micha Hancock,silver,United States of America,1992-11-10,McAlester,Pittsburg County,volleyball at the 2024 Summer Olympics – women's tournament
Jordyn Poulter,silver,United States of America,1997-07-31,Naperville,Will County,volleyball at the 2024 Summer Olympics – women's tournament
Avery Skinner,silver,United States of America,1999-04-25,Katy,Harris County,volleyball at the 2024 Summer Olympics – women's tournament
Justine Wong-Orantes,silver,United States of America,1995-10-06,Torrance,Los Angeles County,volleyball at the 2024 Summer Olympics – women's tournament
Lauren Carlini,silver,United States of America,1995-02-28,Geneva,Kane County,volleyball at the 2024 Summer Olympics – women's tournament
Jordan Larson,silver,United States of America,1986-10-16,Fremont,Dodge County,volleyball at the 2024 Summer Olympics – women's tournament
Andrea Drews,silver,United States of America,1993-12-25,Muncie,Delaware County,volleyball at the 2024 Summer Olympics – women's tournament
Jordan Thompson,silver,United States of America,1997-05-05,Edina,Hennepin County,volleyball at the 2024 Summer Olympics – women's tournament
Haleigh Washington,silver,United States of America,1995-09-22,Denver,Denver County,volleyball at the 2024 Summer Olympics – women's tournament
Dana Rettke,silver,United States of America,1999-01-20,Riverside,Cook County,volleyball at the 2024 Summer Olympics – women's tournament
Kathryn Plummer,silver,United States of America,1998-10-16,Long Beach,Los Angeles County,volleyball at the 2024 Summer Olympics – women's tournament
Kelsey Robinson,silver,United States of America,1992-06-25,Elmhurst,DuPage County,volleyball at the 2024 Summer Olympics – women's tournament
Chiaka Ogbogu,silver,United States of America,1995-04-15,Newark,Essex County,volleyball at the 2024 Summer Olympics – women's tournament
Nyeme Costa,bronze,Brazil,1998-10-11,Barra do Corda,Maranhão,volleyball at the 2024 Summer Olympics – women's tournament
Diana Duarte,bronze,Brazil,1999-02-22,Barueri,São Paulo,volleyball at the 2024 Summer Olympics – women's tournament
Macris Carneiro,bronze,Brazil,1989-03-03,Santo André,São Paulo,volleyball at the 2024 Summer Olympics – women's tournament
Thaísa Menezes,bronze,Brazil,1987-05-15,Rio de Janeiro,Rio de Janeiro,volleyball at the 2024 Summer Olympics – women's tournament
Rosamaria Montibeller,bronze,Brazil,1994-04-09,Nova Trento,Santa Catarina,volleyball at the 2024 Summer Olympics – women's tournament
Roberta Ratzke,bronze,Brazil,1990-04-28,Curitiba,Paraná,volleyball at the 2024 Summer Olympics – women's tournament
Gabriela Guimarães,bronze,Brazil,1994-05-19,Belo Horizonte,Minas Gerais,volleyball at the 2024 Summer Olympics – women's tournament
Ana Cristina de Souza,bronze,Brazil,2004-04-07,Rio de Janeiro,Rio de Janeiro,volleyball at the 2024 Summer Olympics – women's tournament
Natália Araujo,bronze,Brazil,1997-04-10,Guarulhos,São Paulo,volleyball at the 2024 Summer Olympics – women's tournament
Ana Silva,bronze,Brazil,1991-04-08,Belo Horizonte,Minas Gerais,volleyball at the 2024 Summer Olympics – women's tournament
Júlia Bergmann,bronze,Brazil,2001-02-21,Munich,Upper Bavaria,volleyball at the 2024 Summer Olympics – women's tournament
Tainara Santos,bronze,Brazil,2000-03-09,Jandira,São Paulo,volleyball at the 2024 Summer Olympics – women's tournament
Lorenne Geraldo Teixeira,bronze,Brazil,1996-01-08,Belo Horizonte,Minas Gerais,volleyball at the 2024 Summer Olympics – women's tournament
Radoslav Filipović,gold,Serbia,1997-08-19,Novi Sad,Novi Sad City,water polo at the 2024 Summer Olympics – men's tournament
Dušan Mandić,gold,Serbia,1994-01-01,Kotor,Kotor Municipality,water polo at the 2024 Summer Olympics – men's tournament
Strahinja Rašović,gold,Serbia,1992-03-09,Belgrade,City of Belgrade,water polo at the 2024 Summer Olympics – men's tournament
Sava Ranđelović,gold,Serbia,1993-07-17,Niš,Palilula,water polo at the 2024 Summer Olympics – men's tournament
Miloš Ćuk,gold,Serbia,1990-12-21,Novi Sad,Novi Sad City,water polo at the 2024 Summer Olympics – men's tournament
Nikola Dedović,gold,Serbia,1992-01-25,Belgrade,City of Belgrade,water polo at the 2024 Summer Olympics – men's tournament
Radomir Drašović,gold,Serbia,1997-07-22,Belgrade,City of Belgrade,water polo at the 2024 Summer Olympics – men's tournament
Nikola Jakšić,gold,Serbia,1997-01-17,Belgrade,City of Belgrade,water polo at the 2024 Summer Olympics – men's tournament
Nemanja Ubović,gold,Serbia,1991-02-24,Belgrade,City of Belgrade,water polo at the 2024 Summer Olympics – men's tournament
Nemanja Vico,gold,Serbia,1994-11-19,Kotor,Kotor Municipality,water polo at the 2024 Summer Olympics – men's tournament
Petar Jakšić,gold,Serbia,2001-07-20,Belgrade,City of Belgrade,water polo at the 2024 Summer Olympics – men's tournament
Viktor Rašović,gold,Serbia,1993-08-13,Belgrade,City of Belgrade,water polo at the 2024 Summer Olympics – men's tournament
Vladimir Mišović,gold,Serbia,2001-01-01,Pančevo,City of Pančevo,water polo at the 2024 Summer Olympics – men's tournament
Marko Bijač,silver,Croatia,1991-01-12,Dubrovnik,Dubrovnik-Neretva County,water polo at the 2024 Summer Olympics – men's tournament
Rino Burić,silver,Croatia,1997-01-01,Split,Split-Dalmatia County,water polo at the 2024 Summer Olympics – men's tournament
Loren Fatovic,silver,Croatia,1996-11-16,Dubrovnik,Dubrovnik-Neretva County,water polo at the 2024 Summer Olympics – men's tournament
Luka Lončar,silver,Croatia,1987-06-26,Zagreb,Croatia,water polo at the 2024 Summer Olympics – men's tournament
Maro Joković,silver,Croatia,1987-10-01,Dubrovnik,Dubrovnik-Neretva County,water polo at the 2024 Summer Olympics – men's tournament
